Title
The Shawshank Redemption
The Godfather
The Dark Knight
The Godfather Part II
12 Angry Men
The Lord of the Rings: The Return of the King
Schindler's List
The Lord of the Rings: The Fellowship of the Ring
Pulp Fiction
Lonely Hero in the Duel of Hell's Gate
The Lord of the Rings: The Two Towers
Forrest Gump
Fight Club
Inception
Star Wars: Episode V - The Empire Strikes Back
The Matrix
GoodFellas
Interstellar
One Flew Over the Cuckoo's Nest
Se7en
It's a Wonderful Life
The Silence of the Lambs
Seven Samurai
Saving Private Ryan
The Green Mile
